"group_no","row_no_in_group","display_run_no","run_no","original_run_no","mode","result","attempt","source_file","source_row","path_length_m","time_s","encounters","personal_violations","intimate_violations","min_ped_dist_m","mean_angular_acceleration"
"4","19","13","13","3","dynamic_dstar","succeeded","0","experiment_results_v3.csv","44","36.495","93.92","9","11","2","0.287","0.2185"
"4","20","14","14","4","dynamic_dstar","succeeded","0","experiment_results_v3.csv","45","40.654","366.32","50","51","40","0.088","0.1532"
"4","21","15","15","5","dynamic_dstar","succeeded","0","experiment_results_v3.csv","46","36.656","94.59","6","12","2","0.141","0.1769"
"4","22","16","16","6","dynamic_dstar","aborted","0","experiment_results_v3.csv","47","41.828","130.39","8","17","3","0.229","0.2367"
"4","23","16","16","6","dynamic_dstar","succeeded","1","experiment_results_v3.csv","48","37.224","100.16","8","12","2","0.211","0.1944"
"4","24","17","17","7","dynamic_dstar","aborted","0","experiment_results_v3.csv","49","36.733","93.37","8","11","3","0.199","0.1601"
"4","25","17","17","7","dynamic_dstar","succeeded","1","experiment_results_v3.csv","50","36.837","104.64","5","10","3","0.092","0.1929"
"4","26","18","18","8","dynamic_dstar","succeeded","0","experiment_results_v3.csv","51","45.18","126.91","13","15","6","0.0","0.193"
"4","27","19","19","9","dynamic_dstar","succeeded","0","experiment_results_v3.csv","52","36.251","94.52","10","13","4","0.018","0.1679"
"4","28","20","20","10","dynamic_dstar","aborted","0","experiment_results_v3.csv","53","23.735","61.56","6","9","4","0.019","0.2587"
"4","29","20","20","10","dynamic_dstar","aborted","1","experiment_results_v3.csv","54","22.522","69.28","5","5","2","0.033","0.2259"
"4","30","20","20","10","dynamic_dstar","succeeded","2","experiment_results_v3.csv","55","36.324","102.69","6","9","3","0.201","0.1475"
"5","1","1","1","1","social","succeeded","0","social_4groups_headless_10.csv","1","40.047","131.86","7","12","3","0.187","0.2422"
"5","2","2","2","2","social","succeeded","0","social_4groups_headless_10.csv","2","36.346","95.42","8","14","7","0.02","0.2699"
"5","3","3","3","3","social","succeeded","0","social_4groups_headless_10.csv","3","36.512","102.2","7","7","1","0.157","0.3071"
"5","4","4","4","4","social","succeeded","0","social_4groups_headless_10.csv","4","36.911","102.73","9","13","1","0.172","0.2465"
"5","5","5","5","5","social","succeeded","0","social_4groups_headless_10.csv","5","36.195","101.64","8","8","6","0.126","0.2413"
"5","6","6","6","6","social","succeeded","0","social_4groups_headless_10.csv","6","36.219","95.52","8","16","6","0.045","0.2558"
"5","7","7","7","7","social","succeeded","0","social_4groups_headless_10.csv","7","39.239","131.49","8","14","3","0.263","0.2236"
"5","8","8","8","8","social","succeeded","0","social_4groups_headless_10.csv","8","36.467","99.64","6","8","0","0.508","0.2699"
"5","9","9","9","9","social","aborted","0","social_4groups_headless_10.csv","9","32.003","363.7","14","13","7","0.094","0.1509"
"5","10","9","9","9","social","succeeded","1","social_4groups_headless_10.csv","10","36.657","102.55","10","8","4","0.014","0.2278"
"5","11","10","10","10","social","succeeded","0","social_4groups_headless_10.csv","11","36.315","102.99","6","9","3","0.25","0.2102"
"5","12","11","11","1","social","succeeded","0","experiment_results_v3.csv","56","36.364","94.94","8","12","4","0.122","0.2826"
"5","13","12","12","2","social","succeeded","0","experiment_results_v3.csv","57","36.418","111.54","9","12","5","0.049","0.3107"
"5","14","13","13","3","social","succeeded","0","experiment_results_v3.csv","58","38.113","115.9","8","9","3","0.227","0.2509"
"5","15","14","14","4","social","succeeded","0","experiment_results_v3.csv","59","36.11","159.26","19","21","15","0.073","0.2232"
"5","16","15","15","5","social","succeeded","0","experiment_results_v3.csv","60","39.256","116.03","14","12","6","0.102","0.2503"
"5","17","16","16","1","social","aborted","0","experiment_results_v3.csv","79","32.494","112.57","9","13","3","0.066","0.2889"
"5","18","16","16","1","social","succeeded","1","experiment_results_v3.csv","80","36.482","102.48","7","7","6","0.071","0.2734"
"5","19","17","17","2","social","aborted","0","experiment_results_v3.csv","81","25.302","81.18","8","16","2","0.225","0.2939"
"5","20","17","17","2","social","succeeded","1","experiment_results_v3.csv","82","36.035","102.9","7","7","4","0.093","0.2408"
"5","21","18","18","3","social","succeeded","0","experiment_results_v3.csv","83","36.256","102.16","5","9","2","0.229","0.245"
"5","22","19","19","4","social","succeeded","0","experiment_results_v3.csv","84","37.243","103.07","5","7","3","0.26","0.2669"
"5","23","20","20","5","social","succeeded","0","experiment_results_v3.csv","85","36.828","101.82","6","7","5","0.104","0.2857"
"6","1","1","1","1","social_astar","aborted","0","social_4groups_headless_10.csv","12","30.041","84.56","6","12","1","0.185","0.3766"
"6","2","1","1","1","social_astar","aborted","1","social_4groups_headless_10.csv","13","17.534","367.04","2","7","1","0.322","0.1457"
"6","3","1","1","1","social_astar","succeeded","2","social_4groups_headless_10.csv","14","38.395","104.09","9","7","3","0.075","0.2595"
"6","4","2","2","2","social_astar","succeeded","0","social_4groups_headless_10.csv","15","39.261","114.92","9","17","6","0.136","0.3063"
"6","5","3","3","3","social_astar","succeeded","0","social_4groups_headless_10.csv","16","36.137","114.85","9","10","5","0.042","0.2268"
"6","6","4","4","4","social_astar","succeeded","0","social_4groups_headless_10.csv","17","36.241","172.16","20","23","14","0.015","0.2261"
"6","7","5","5","5","social_astar","succeeded","0","social_4groups_headless_10.csv","18","36.218","99.17","7","13","2","0.292","0.2506"
"6","8","6","6","6","social_astar","aborted","0","social_4groups_headless_10.csv","19","17.172","57.43","4","5","1","0.168","0.3364"
"6","9","6","6","6","social_astar","succeeded","1","social_4groups_headless_10.csv","20","36.423","114.77","10","10","6","0.258","0.2039"
"6","10","7","7","7","social_astar","succeeded","0","social_4groups_headless_10.csv","21","36.276","123.07","12","14","5","0.264","0.2217"
"6","11","8","8","8","social_astar","aborted","0","social_4groups_headless_10.csv","22","24.956","73.45","7","8","4","0.024","0.3047"
"6","12","8","8","8","social_astar","succeeded","1","social_4groups_headless_10.csv","23","38.061","104.17","8","11","4","0.282","0.2063"
"6","13","9","9","9","social_astar","succeeded","0","social_4groups_headless_10.csv","24","38.171","112.27","12","14","6","0.004","0.2408"
"6","14","10","10","10","social_astar","succeeded","0","social_4groups_headless_10.csv","25","36.45","101.59","11","8","4","0.038","0.2056"
