"experiment","mode","result","attempt","path_length_m","time_s","encounters","personal_violations","intimate_violations","min_ped_dist_m","mean_angular_acceleration","source"
"14","dynamic_dstar","succeeded","0","40.654","366.32","50","51","40","0.088","0.1532","experiment_results_v3.csv"
"15","dynamic_dstar","succeeded","0","36.656","94.59","6","12","2","0.141","0.1769","experiment_results_v3.csv"
"16","dynamic_dstar","aborted","0","41.828","130.39","8","17","3","0.229","0.2367","experiment_results_v3.csv"
"16","dynamic_dstar","succeeded","1","37.224","100.16","8","12","2","0.211","0.1944","experiment_results_v3.csv"
"17","dynamic_dstar","aborted","0","36.733","93.37","8","11","3","0.199","0.1601","experiment_results_v3.csv"
"17","dynamic_dstar","succeeded","1","36.837","104.64","5","10","3","0.092","0.1929","experiment_results_v3.csv"
"18","dynamic_dstar","succeeded","0","45.18","126.91","13","15","6","0.0","0.193","experiment_results_v3.csv"
"19","dynamic_dstar","succeeded","0","36.251","94.52","10","13","4","0.018","0.1679","experiment_results_v3.csv"
"20","dynamic_dstar","aborted","0","23.735","61.56","6","9","4","0.019","0.2587","experiment_results_v3.csv"
"20","dynamic_dstar","aborted","1","22.522","69.28","5","5","2","0.033","0.2259","experiment_results_v3.csv"
"20","dynamic_dstar","succeeded","2","36.324","102.69","6","9","3","0.201","0.1475","experiment_results_v3.csv"
"1","social","succeeded","0","40.047","131.86","7","12","3","0.187","0.2422","social_4groups_headless_10.csv"
"2","social","succeeded","0","36.346","95.42","8","14","7","0.02","0.2699","social_4groups_headless_10.csv"
"3","social","succeeded","0","36.512","102.2","7","7","1","0.157","0.3071","social_4groups_headless_10.csv"
"4","social","succeeded","0","36.911","102.73","9","13","1","0.172","0.2465","social_4groups_headless_10.csv"
"5","social","succeeded","0","36.195","101.64","8","8","6","0.126","0.2413","social_4groups_headless_10.csv"
"6","social","succeeded","0","36.219","95.52","8","16","6","0.045","0.2558","social_4groups_headless_10.csv"
"7","social","succeeded","0","39.239","131.49","8","14","3","0.263","0.2236","social_4groups_headless_10.csv"
"8","social","succeeded","0","36.467","99.64","6","8","0","0.508","0.2699","social_4groups_headless_10.csv"
"9","social","aborted","0","32.003","363.7","14","13","7","0.094","0.1509","social_4groups_headless_10.csv"
"9","social","succeeded","1","36.657","102.55","10","8","4","0.014","0.2278","social_4groups_headless_10.csv"
"10","social","succeeded","0","36.315","102.99","6","9","3","0.25","0.2102","social_4groups_headless_10.csv"
"11","social","succeeded","0","36.364","94.94","8","12","4","0.122","0.2826","experiment_results_v3.csv"
"12","social","succeeded","0","36.418","111.54","9","12","5","0.049","0.3107","experiment_results_v3.csv"
"13","social","succeeded","0","38.113","115.9","8","9","3","0.227","0.2509","experiment_results_v3.csv"
