experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration,source
9,social_astar,succeeded,0,38.171,112.27,12,14,6,0.004,0.2408,social_4groups_headless_10.csv
10,social_astar,succeeded,0,36.45,101.59,11,8,4,0.038,0.2056,social_4groups_headless_10.csv
1,social_smac,aborted,0,53.825,181.8,12,22,11,0.037,0.3287,social_4groups_headless_10.csv
1,social_smac,succeeded,1,42.156,107.45,10,15,4,0.281,0.3466,social_4groups_headless_10.csv
2,social_smac,succeeded,0,42.058,125.95,11,12,4,0.041,0.3638,social_4groups_headless_10.csv
3,social_smac,aborted,0,49.701,167.56,18,18,1,0.305,0.3308,social_4groups_headless_10.csv
3,social_smac,timeout,1,41.034,450.38,31,47,26,0.023,0.2518,social_4groups_headless_10.csv
4,social_smac,aborted,0,40.397,182.75,12,16,2,0.321,0.3349,social_4groups_headless_10.csv
4,social_smac,aborted,1,26.177,81.81,8,11,3,0.2,0.3586,social_4groups_headless_10.csv
4,social_smac,aborted,2,16.031,121.84,2,3,1,0.357,0.41,social_4groups_headless_10.csv
5,social_smac,succeeded,0,44.82,141.77,11,16,3,0.072,0.2988,social_4groups_headless_10.csv
6,social_smac,aborted,0,41.996,115.07,11,13,5,0.076,0.309,social_4groups_headless_10.csv
6,social_smac,succeeded,1,37.727,100.5,6,9,0,0.479,0.3168,social_4groups_headless_10.csv
7,social_smac,succeeded,0,37.203,103.42,5,8,1,0.195,0.3212,social_4groups_headless_10.csv
8,social_smac,succeeded,0,44.308,142.02,8,14,3,0.062,0.3272,social_4groups_headless_10.csv
9,social_smac,succeeded,0,37.854,101.46,7,8,1,0.16,0.3099,social_4groups_headless_10.csv
10,social_smac,succeeded,0,37.625,100.55,4,7,1,0.31,0.2986,social_4groups_headless_10.csv
1,social_dstar,succeeded,0,36.333,87.54,6,10,4,0.023,0.2633,social_4groups_headless_10.csv
2,social_dstar,succeeded,0,36.758,95.84,7,11,7,0.043,0.3009,social_4groups_headless_10.csv
3,social_dstar,succeeded,0,37.553,403.79,33,40,53,0.036,0.1622,social_4groups_headless_10.csv
4,social_dstar,succeeded,0,36.417,103.86,5,8,7,0.249,0.1951,social_4groups_headless_10.csv
5,social_dstar,succeeded,0,36.448,92.48,7,10,6,0.145,0.296,social_4groups_headless_10.csv
6,social_dstar,succeeded,0,36.579,93.91,8,11,5,0.066,0.2141,social_4groups_headless_10.csv
7,social_dstar,succeeded,0,36.785,94.38,8,11,5,0.29,0.2231,social_4groups_headless_10.csv
8,social_dstar,succeeded,0,40.493,104.82,8,11,16,0.072,0.2884,social_4groups_headless_10.csv
